District,Region
Masaka District,South Central
Butebo District,Bukedi
Alebtong District,Lango
Tororo District,Bukedi
Moroto District,Karamoja
Kagadi District,Bunyoro
Kamuli District,Busoga
Budaka District,Bukedi
Maracha District,West Nile
Buikwe District,North Central
Luwero District,North Central
Mpigi District,South Central
Kayunga District,North Central
Kyankwanzi District,North Central
Kiboga District,North Central
Mukono District,North Central
Nakaseke District,North Central
Kassanda District,North Central
Mbale District,Bugisu
Bukwo District,Bugisu
Kapchorwa District,Bugisu
Bukedea District,Teso
Kabarole District,Tooro
Masindi District,Bunyoro
Kitagwenda District,Tooro
Busia District,Bukedi
Kalangala District,South Central
Ntungamo District,Ankole
Mbarara District,Ankole
Mitooma District,Ankole
Nakasongola District,North Central
Mubende District,North Central
Buvuma District,North Central
Kaberamaido District,Teso
Soroti District,Teso
Bunyangabu District,Tooro
Ibanda District,Ankole
Wakiso District,South Central
Amolatar District,Lango
Lamwo District,Acholi
Kaabong District,Karamoja
Iganga District,Busoga
Namayingo District,Busoga
Rukungiri District,Kigezi
Pakwach District,West Nile
Rubanda District,Kigezi
Luuka District,Busoga
Kole District,Lango
Kaliro District,Busoga
Omoro District,Acholi
Rukiga District,Kigezi
Amuru District,Acholi
Kitgum District,Acholi
Kanungu District,Kigezi
Zombo District,West Nile
Jinja District,Busoga
Yumbe District,West Nile
Buyende District,Busoga
Kisoro District,Kigezi
Nakapiripirit District,Karamoja
Gulu District,Acholi
Bukomansimbi District,South Central
Dokolo District,Lango
Kween District,Bugisu
Serere District,Teso
Amuria District,Teso
Adjumani District,West Nile
Kyegegwa District,Tooro
Kyenjojo District,Tooro
Kasese District,Tooro
Sheema District,Ankole
Rubirizi District,Ankole
Butaleja District,Bukedi
Kibaale District,Bunyoro
Kikuube District,Bunyoro
Lwengo District,South Central
Agago District,Acholi
Apac District,Lango
Pallisa District,Bukedi
Lira District,Lango
Kotido District,Karamoja
Kalungu District,South Central
Napak District,Karamoja
Namutumba District,Busoga
Bugiri District,Busoga
Otuke District,Lango
Nebbi District,West Nile
Kampala District,Kampala
Pader District,Acholi
Abim District,Karamoja
Bududa District,Bugisu
Manafwa District,Bugisu
Sironko District,Bugisu
Katakwi District,Teso
Kumi District,Teso
Buliisa District,Bunyoro
Kamwenge District,Tooro
Lyantonde District,South Central
Sembabule District,South Central
Butambala District,South Central
Kiruhura District,Ankole
Buhweju District,Ankole
Kakumiro District,Bunyoro
Kabale District,Kigezi
Amudat District,Karamoja
Mayuge District,Busoga
Nwoya District,Acholi
Oyam District,Lango
Koboko District,West Nile
Kibuku District,Bukedi
Kwania District,Lango
Nabilatuk District,Karamoja
Bugweri District,Busoga
Madi-Okollo District,West Nile
Karenga District,Karamoja
Namisindwa District,Bugisu
Bulambuli District,Bugisu
Ngora District,Teso
Kapelebyong District,Teso
Moyo District,West Nile
Ntoroko District,Tooro
Bundibugyo District,Tooro
Kiryandongo District,Bunyoro
Mityana District,North Central
Kyotera District,South Central
Gomba District,South Central
Rakai District,South Central
Bushenyi District,Ankole
Isingiro District,Ankole
Rwampara District,Ankole
Hoima District,Bunyoro
Kalaki District,Teso
Obongi District,West Nile
Kazo District,Ankole
Terego District,West Nile
Arua District,West Nile
