dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year,Cluster_Type
BUIKWE,Buikwe,"474,100",474100,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,36,17,53,19721,14068,33789,35432,22776,58208,13176,10681,23857,17396,15839,33235,30,14,44,17854,12927,30781,29228,20438,49666,15833,14447,30280,12341,10131,22472,133243,30,14,44,17138,12400,29538,28042,20107,48149,15191,13878,29069,11792,9706,21498,698,1878,2576,68365,63381,131746,17432,15856,33288,1270,478765.9383,376.9810538,0.2827,0,278.3050951,BUIKWE,-0.040806413,-0.219334325,0.326,2,False,0.120541583,0.338,False,False,2020,Not Significant
LUWERO,Luwero,"523,600",523600,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,North Central,Luwero District,83,59,142,30912,26298,57210,36602,24039,60641,20920,19069,39989,18300,17698,35998,37,43,80,28534,27751,56285,32307,21454,53761,16620,16056,32676,19507,17729,37236,180038,38,43,81,28661,24573,53234,32249,21673,53922,16662,16064,32726,19601,17827,37428,1347,2602,3949,88517,87163,175680,18383,17757,36140,2216,546765.7355,246.7354402,0.8271,0,329.278132,LUWERO,0.039015593,0.502359054,0.349,3,False,-0.209607955,0.339,False,False,2020,Not Significant
MUKONO,Mukono,"701,400",701400,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,North Central,Mukono District,78,47,125,22158,17552,39710,36484,22815,59299,14305,12628,26933,14784,14401,29185,55,30,85,20927,16790,37717,33378,20892,54270,13861,13508,27369,13596,12190,25786,145227,48,30,78,20543,16459,37002,32703,20532,53235,13579,13226,26805,13372,11864,25236,806,2594,3400,73025,67443,140468,14862,14448,29310,1831,778403.7886,425.1249528,0.2835,0,186.5702636,MUKONO,0.171533604,0.7741341,0.236,3,False,-0.294556839,0.197,False,False,2020,Not Significant
KABAROLE,Kabarole,"337,800",337800,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,Tooro,Kabarole District,5,6,11,2880,2283,5163,5522,3772,9294,1703,1379,3082,1560,1341,2901,2,1,3,2773,2239,5012,5067,3489,8556,1487,1270,2757,1636,1346,2982,19310,2,1,3,2761,2208,4969,4960,3457,8417,1469,1254,2723,1627,1323,2950,32,135,167,10110,8781,18891,1565,1347,2912,1184,216280.968,182.6697365,0.6833,0,89.28201209,KABAROLE,0.413474085,1.248041763,0.069,3,False,-0.484301971,0.062,False,False,2020,Not Significant
KITAGWENDA,Kitagwenda,"178,300",178300,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,9,8,17,8077,5964,14041,10352,5746,16098,3652,3054,6706,4381,3502,7883,7,8,15,7873,5855,13728,10032,5600,15632,4154,3357,7511,3577,2988,6565,43451,7,7,14,7632,5678,13310,9473,5307,14780,3896,3111,7007,3378,2840,6218,336,764,1100,22090,18274,40364,4390,3510,7900,677,167230.318,247.0167178,0,0,259.827288,KITAGWENDA,0.0759225,0.429751623,0.383,3,False,-0.20053219,0.396,False,False,2020,Not Significant
KABERAMAIDO,Kaberamaido,"132,700",132700,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,17,13,30,7809,4730,12539,8009,3241,11250,4075,3180,7255,3706,3242,6948,17,13,30,7484,4601,12085,7620,3059,10679,3580,3113,6693,3954,3106,7060,36547,17,13,30,7403,4556,11959,7568,3028,10596,3560,3099,6659,3961,3098,7059,314,542,856,19910,14406,34316,3723,3255,6978,689,125381.2538,181.9756949,1.6325,0,291.4869559,KABERAMAIDO,0.113610875,0.798473064,0.195,3,False,-0.388047525,0.221,False,False,2020,Not Significant
KOLE,Kole,"284,300",284300,KOLE,KOLE,KOLE,KOLE,KOLE,KOLE,Lango,Kole District,7,7,14,25013,10753,35766,28261,9352,37613,10993,7875,18868,14751,13519,28270,6,7,13,24806,10666,35472,27984,9263,37247,14626,13411,28037,10913,7804,18717,119486,6,7,13,24450,10441,34891,27460,9134,36594,14465,13179,27644,10723,7663,18386,2162,5047,7209,64274,41506,105780,14758,13526,28284,1073,270939.1235,252.5061728,2.3031,0,441.0068153,KOLE,0.047059646,0.640927956,0.205,1,False,0.364905631,0.195,False,False,2020,Not Significant
KANUNGU,Kanungu,"277,300",277300,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,Kigezi,Kanungu District,9,10,19,12287,9808,22095,16454,10516,26970,6035,4945,10980,5106,4424,9530,7,10,17,12004,9582,21586,16017,10170,26187,4935,4289,9224,5850,4806,10656,67670,7,10,17,11890,9467,21357,15870,10059,25929,4884,4231,9115,5813,4755,10568,161,449,610,34785,29703,64488,5115,4434,9549,1275,285449.0367,223.8815974,0.8195,0,237.0650845,KANUNGU,0.429178516,1.680406909,0.003,3,True,-0.960338168,0.005,False,True,2020,Low-Low
KASESE,Kasese,"793,200",793200,KASESE,KASESE,KASESE,KASESE,KASESE,KASESE,Tooro,Kasese District,80,60,140,32148,27492,59640,53391,35425,88816,15871,13696,29567,14750,13646,28396,43,31,74,28945,24803,53748,45526,30721,76247,12131,11550,23681,13983,12193,26176,179926,43,31,74,28826,25785,54611,45620,30754,76374,11925,11451,23376,13892,12214,26106,577,1468,2045,101490,90319,191809,14830,13706,28536,2795,786346.2565,281.3403422,0.1699,0,228.8126872,KASESE,0.201047939,1.106754299,0.112,3,False,-0.429635327,0.112,False,False,2020,Not Significant
BUTALEJA,Butaleja,"300,500",300500,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,Bukedi,Butaleja District,9,5,14,5516,3419,8935,8739,3742,12481,4155,3254,7409,6033,5279,11312,9,5,14,4864,3055,7919,7496,3302,10798,5287,4511,9798,3798,2960,6758,35287,9,5,14,4915,3101,8016,7478,3269,10747,5319,4584,9903,3853,2990,6843,192,403,595,18419,15699,34118,6042,5284,11326,655,283270.0852,432.4734125,0,0,124.5701606,BUTALEJA,0.530559542,1.777128906,0.008,3,True,-0.698344824,0.006,False,True,2020,Low-Low
