Region,Year,Total_Cases,total_Cases_Treated,Percentage_Treatment_Coverage
Acholi,2020,1655549,1648500,99.57
Acholi,2021,1078710,5801557,537.82
Acholi,2022,1555051,1860768,119.66
Acholi,2023,1347032,1132172,84.05
Acholi,2024,1198993,1678042,139.95
Ankole,2020,544687,528759,97.08
Ankole,2021,450911,2035228,451.36
Ankole,2022,683420,881742,129.02
Ankole,2023,517546,456082,88.12
Ankole,2024,376259,474536,126.12
Bugisu,2020,368736,370360,100.44
Bugisu,2021,370407,1773174,478.71
Bugisu,2022,472099,593403,125.69
Bugisu,2023,352073,299277,85
Bugisu,2024,351836,472254,134.23
Bukedi,2020,460315,452909,98.39
Bukedi,2021,839808,4386440,522.31
Bukedi,2022,1493073,1835936,122.96
Bukedi,2023,911175,776010,85.17
Bukedi,2024,727712,1062033,145.94
Bunyoro,2020,646435,760096,117.58
Bunyoro,2021,485774,2664984,548.61
Bunyoro,2022,733318,912791,124.47
Bunyoro,2023,575486,482169,83.78
Bunyoro,2024,500648,693036,138.43
Busoga,2020,1810308,1778361,98.24
Busoga,2021,1643907,8328910,506.65
Busoga,2022,1929759,2441065,126.5
Busoga,2023,1701860,1441939,84.73
Busoga,2024,1588980,2212476,139.24
Kampala,2020,144697,144394,99.79
Kampala,2021,143223,804680,561.84
Kampala,2022,189193,250503,132.41
Kampala,2023,203842,190539,93.47
Kampala,2024,157059,198437,126.35
Karamoja,2020,549702,549167,99.9
Karamoja,2021,500319,2860028,571.64
Karamoja,2022,507156,664222,130.97
Karamoja,2023,456630,364734,79.88
Karamoja,2024,429834,645745,150.23
Kigezi,2020,133185,151815,113.99
Kigezi,2021,110902,496800,447.96
Kigezi,2022,160526,199243,124.12
Kigezi,2023,136200,118986,87.36
Kigezi,2024,65018,80897,124.42
Lango,2020,941154,919201,97.67
Lango,2021,788544,3968232,503.24
Lango,2022,1224002,1468467,119.97
Lango,2023,920114,734974,79.88
Lango,2024,862625,1156275,134.04
North Central,2020,1273343,1258220,98.81
North Central,2021,881025,4387125,497.96
North Central,2022,1164085,1474867,126.7
North Central,2023,1022480,923712,90.34
North Central,2024,1216200,1227496,100.93
South Central,2020,826739,813200,98.36
South Central,2021,636413,3526768,554.16
South Central,2022,1082683,1345511,124.28
South Central,2023,839125,767574,91.47
South Central,2024,544815,712142,130.71
Teso,2020,962358,930045,96.64
Teso,2021,888845,4369148,491.55
Teso,2022,1230371,1479852,120.28
Teso,2023,1084650,890629,82.11
Teso,2024,1064487,1420848,133.48
Tooro,2020,781210,814170,104.22
Tooro,2021,683430,3246857,475.08
Tooro,2022,996345,1250071,125.47
Tooro,2023,748681,673375,89.94
Tooro,2024,465266,629330,135.26
West Nile,2020,2227592,4147275,186.18
West Nile,2021,1952773,10748098,550.4
West Nile,2022,2233192,2906338,130.14
West Nile,2023,1833663,1680314,91.64
West Nile,2024,807392,1100827,136.34
