Region,Year,Current_Total_Cases,Previous_Total_Cases,Y_0_Y_Change
Acholi,2020,1655549,NULL,NULL
Acholi,2021,1078710,1655549,-34.84
Acholi,2022,1555051,1078710,44.16
Acholi,2023,1347032,1555051,-13.38
Acholi,2024,1198993,1347032,-10.99
Ankole,2020,544687,NULL,NULL
Ankole,2021,450911,544687,-17.22
Ankole,2022,683420,450911,51.56
Ankole,2023,517546,683420,-24.27
Ankole,2024,376259,517546,-27.3
Bugisu,2020,368736,NULL,NULL
Bugisu,2021,370407,368736,0.45
Bugisu,2022,472099,370407,27.45
Bugisu,2023,352073,472099,-25.42
Bugisu,2024,351836,352073,-0.07
Bukedi,2020,460315,NULL,NULL
Bukedi,2021,839808,460315,82.44
Bukedi,2022,1493073,839808,77.79
Bukedi,2023,911175,1493073,-38.97
Bukedi,2024,727712,911175,-20.13
Bunyoro,2020,646435,NULL,NULL
Bunyoro,2021,485774,646435,-24.85
Bunyoro,2022,733318,485774,50.96
Bunyoro,2023,575486,733318,-21.52
Bunyoro,2024,500648,575486,-13
Busoga,2020,1810308,NULL,NULL
Busoga,2021,1643907,1810308,-9.19
Busoga,2022,1929759,1643907,17.39
Busoga,2023,1701860,1929759,-11.81
Busoga,2024,1588980,1701860,-6.63
Kampala,2020,144697,NULL,NULL
Kampala,2021,143223,144697,-1.02
Kampala,2022,189193,143223,32.1
Kampala,2023,203842,189193,7.74
Kampala,2024,157059,203842,-22.95
Karamoja,2020,549702,NULL,NULL
Karamoja,2021,500319,549702,-8.98
Karamoja,2022,507156,500319,1.37
Karamoja,2023,456630,507156,-9.96
Karamoja,2024,429834,456630,-5.87
Kigezi,2020,133185,NULL,NULL
Kigezi,2021,110902,133185,-16.73
Kigezi,2022,160526,110902,44.75
Kigezi,2023,136200,160526,-15.15
Kigezi,2024,65018,136200,-52.26
Lango,2020,941154,NULL,NULL
Lango,2021,788544,941154,-16.22
Lango,2022,1224002,788544,55.22
Lango,2023,920114,1224002,-24.83
Lango,2024,862625,920114,-6.25
North Central,2020,1273343,NULL,NULL
North Central,2021,881025,1273343,-30.81
North Central,2022,1164085,881025,32.13
North Central,2023,1022480,1164085,-12.16
North Central,2024,1216200,1022480,18.95
South Central,2020,826739,NULL,NULL
South Central,2021,636413,826739,-23.02
South Central,2022,1082683,636413,70.12
South Central,2023,839125,1082683,-22.5
South Central,2024,544815,839125,-35.07
Teso,2020,962358,NULL,NULL
Teso,2021,888845,962358,-7.64
Teso,2022,1230371,888845,38.42
Teso,2023,1084650,1230371,-11.84
Teso,2024,1064487,1084650,-1.86
Tooro,2020,781210,NULL,NULL
Tooro,2021,683430,781210,-12.52
Tooro,2022,996345,683430,45.79
Tooro,2023,748681,996345,-24.86
Tooro,2024,465266,748681,-37.86
West Nile,2020,2227592,NULL,NULL
West Nile,2021,1952773,2227592,-12.34
West Nile,2022,2233192,1952773,14.36
West Nile,2023,1833663,2233192,-17.89
West Nile,2024,807392,1833663,-55.97
