Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Karamoja,Abim District,6.0,7.0,13.0,16161.0,9062.0,25223.0,16507.0,8054.0,24561.0,9159.0,7466.0,16625.0,16596.0,15192.0,31788.0,6.0,7.0,13.0,15941.0,8960.0,24901.0,16012.0,7903.0,23915.0,16378.0,14986.0,31364.0,9108.0,7364.0,16472.0,96665.0,6.0,7.0,13.0,15519.0,8695.0,24214.0,15792.0,7814.0,23606.0,16100.0,14701.0,30801.0,8892.0,7150.0,16042.0,666.0,1106.0,1772.0,41833.0,39781.0,81614.0,16602.0,15199.0,31801.0,2301.0,128376.1239,55.79144888,2.7067,33.6595,2020,752.9826969639483,55.79144889178618
Acholi,Acholi,316.0,338.0,654.0,365422.0,214763.0,580185.0,456269.0,123147.0,579416.0,174675.0,139233.0,313908.0,195330.0,185351.0,380681.0,240.0,346.0,586.0,354788.0,208230.0,563018.0,306889.0,113844.0,420733.0,188319.0,178319.0,366638.0,169672.0,134902.0,304574.0,1655549.0,243.0,404.0,647.0,349646.0,207335.0,556981.0,303590.0,111847.0,415437.0,199045.0,176002.0,375047.0,167445.0,132943.0,300388.0,10653.0,20859.0,31512.0,996682.0,662832.0,1659514.0,195646.0,185689.0,381335.0,28522.0,1806585.489,63.34007043,0.0,0.0,2020,916.3967108561226,63.34007043685576
West Nile,Adjumani District,14.0,10.0,24.0,68996.0,51991.0,120987.0,60160.0,28387.0,88547.0,39961.0,33652.0,73613.0,44368.0,43281.0,87649.0,20.0,8.0,28.0,66330.0,49125.0,115455.0,56705.0,27383.0,84088.0,42505.0,42053.0,84558.0,38666.0,32191.0,70857.0,354986.0,10.0,7.0,17.0,63988.0,47276.0,111264.0,53973.0,26342.0,80315.0,41805.0,39693.0,81498.0,37330.0,121192.0,158522.0,1519.0,3234.0,4753.0,169131.0,157321.0,326452.0,44382.0,43291.0,87673.0,2301.0,128376.1239,55.79144888,3.2549,31.7195,2020,2765.202665540208,55.79144889178618
Acholi,Agago District,46.0,66.0,112.0,66256.0,39123.0,105379.0,58935.0,20260.0,79195.0,31103.0,23984.0,55087.0,34995.0,32884.0,67879.0,44.0,64.0,108.0,65144.0,38505.0,103649.0,57225.0,19666.0,76891.0,34509.0,32382.0,66891.0,30715.0,23654.0,54369.0,301908.0,44.0,203.0,247.0,64246.0,38048.0,102294.0,56111.0,19373.0,75484.0,34253.0,31917.0,66170.0,30185.0,23291.0,53476.0,1379.0,2835.0,4214.0,156340.0,116317.0,272657.0,35041.0,32950.0,67991.0,3493.0,272582.3933,78.0367573,2.9251,0.0,2020,1107.5843760302034,78.03675731462926
Lango,Alebtong District,3.0,5.0,8.0,7110.0,3851.0,10961.0,9974.0,3515.0,13489.0,3936.0,3217.0,7153.0,4529.0,4269.0,8798.0,2.0,4.0,6.0,7103.0,3842.0,10945.0,9932.0,3491.0,13423.0,4548.0,4271.0,8819.0,3955.0,3232.0,7187.0,40380.0,2.0,3.0,5.0,6967.0,3819.0,10786.0,9867.0,3455.0,13322.0,4503.0,4243.0,8746.0,3932.0,3214.0,7146.0,358.0,698.0,1056.0,21023.0,14857.0,35880.0,4532.0,4274.0,8806.0,1534.0,259635.4412,169.253873,2.2914,33.2139,2020,155.5257626361374,169.25387301173404
Lango,Amolatar District,0.0,0.0,0.0,8194.0,5035.0,13229.0,9912.0,4633.0,14545.0,4170.0,3657.0,7827.0,3888.0,3812.0,7700.0,0.0,0.0,0.0,8101.0,4999.0,13100.0,9604.0,4548.0,14152.0,3789.0,3721.0,7510.0,4154.0,3645.0,7799.0,42561.0,0.0,0.0,0.0,7932.0,4932.0,12864.0,9420.0,4431.0,13851.0,3717.0,3669.0,7386.0,4089.0,3578.0,7667.0,310.0,567.0,877.0,22276.0,17137.0,39413.0,3888.0,3812.0,7700.0,1163.0,170846.7994,146.9018051,1.6054,32.8084,2020,249.11792406688772,146.90180515907136
Karamoja,Amudat District,8.0,5.0,13.0,3393.0,2496.0,5889.0,5021.0,1883.0,6904.0,3100.0,2837.0,5937.0,4398.0,4221.0,8619.0,7.0,5.0,12.0,3315.0,2450.0,5765.0,4661.0,1814.0,6475.0,4306.0,4131.0,8437.0,3021.0,2798.0,5819.0,26508.0,117.0,5.0,122.0,3081.0,2275.0,5356.0,4305.0,1639.0,5944.0,3999.0,3791.0,7790.0,2826.0,2618.0,5444.0,109.0,351.0,460.0,11522.0,11442.0,22964.0,4406.0,4226.0,8632.0,1616.0,156566.9591,96.88549447,1.7916,34.9066,2020,169.30775274921976,96.88549449257427
Teso,Amuria District,25.0,16.0,41.0,29332.0,13402.0,42734.0,28794.0,9516.0,38310.0,14675.0,10605.0,25280.0,14631.0,13490.0,28121.0,18.0,11.0,29.0,29204.0,13284.0,42488.0,28411.0,9416.0,37827.0,14521.0,13353.0,27874.0,14628.0,10543.0,25171.0,133389.0,16.0,11.0,27.0,27816.0,12465.0,40281.0,26605.0,8870.0,35475.0,13551.0,12556.0,26107.0,13665.0,9886.0,23551.0,1108.0,2364.0,3472.0,72826.0,47029.0,119855.0,14656.0,13506.0,28162.0,1383.0,221713.2959,160.3133014,2.0302,33.6428,2020,601.6283302204972,160.3133014461316
Acholi,Amuru District,33.0,30.0,63.0,37953.0,20401.0,58354.0,162960.0,12131.0,175091.0,17700.0,13944.0,31644.0,21552.0,20437.0,41989.0,31.0,29.0,60.0,37394.0,20262.0,57656.0,32532.0,11886.0,44418.0,21450.0,20254.0,41704.0,17640.0,13880.0,31520.0,175358.0,31.0,29.0,60.0,36832.0,22016.0,58848.0,31881.0,11851.0,43732.0,21180.0,20008.0,41188.0,17416.0,13709.0,31125.0,1290.0,2235.0,3525.0,218646.0,66943.0,285589.0,21585.0,20467.0,42052.0,3619.0,221144.9495,61.10664534,3.1042,32.0837,2020,792.9550297055281,61.10664534401768
Ankole,Ankole,132.0,117.0,249.0,91896.0,75326.0,167222.0,145190.0,97333.0,242523.0,46632.0,40424.0,87056.0,43372.0,39014.0,82386.0,117.0,101.0,218.0,87663.0,72075.0,159738.0,134654.0,90194.0,224848.0,40868.0,36806.0,77674.0,44096.0,38113.0,82209.0,544687.0,103.0,80.0,183.0,84882.0,69892.0,154774.0,131834.0,87036.0,218870.0,39664.0,35677.0,75341.0,42693.0,36898.0,79591.0,1439.0,4481.0,5920.0,283850.0,252214.0,536064.0,43504.0,39131.0,82635.0,15067.0,3304662.45,219.3311509,0.0,0.0,2020,164.8237931229557,219.33115085949427
