dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,District,TOTAL CASES CONFIRMED(B/S & RDT),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),TOTAL POPULATION,Latitude,Longitude,Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,Masaka District,81158.0,0.4464,31.9018,111838.9019,0.4464,31.9018,725.6687844858033,MASAKA,0.6080380114947036,1.7159120612865804,0.017,3,True,-0.7553184504906739,0.015,False,True
BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Butebo District,277415.0,1.2393,33.83,144468.885,1.2393,33.83,1920.2404725418903,BUTEBO,0.00976577232968588,0.676204844665433,0.207,1,False,0.2778225330760336,0.214,False,False
ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Alebtong District,492752.0,2.2914,33.2139,259635.4412,2.2914,33.2139,1897.861084459682,ALEBTONG,0.007310028152797889,0.9286318988688499,0.139,1,False,0.37920298375856515,0.152,False,False
TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Tororo District,896799.0,0.3886,30.3436,2162302.077,0.3886,30.3436,414.7426992459019,TORORO,0.2229735953512271,0.5826663576965202,0.3,3,False,-0.2241149986501252,0.307,False,False
MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Moroto District,224687.0,2.7495,34.5971,103556.1503,2.7495,34.5971,2169.711787750766,MOROTO,-0.007294793922386783,-0.10440593699762189,0.483,4,False,-0.032772813168992644,0.479,False,False
KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Kagadi District,314043.0,0.95,30.8,418806.2219,0.95,30.8,749.8527566645971,KAGADI,0.5064493586086165,1.6343882449012004,0.021,3,True,-0.6434032321830272,0.026,False,True
KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Kamuli District,1533937.0,0.9187,33.1239,517995.9032,0.9187,33.1239,2961.2917602704315,KAMULI,0.10113483542784431,0.23270903319726174,0.337,1,False,0.13657432973605235,0.33,False,False
BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Budaka District,479742.0,1.1005,34.0196,249235.3939,1.1005,34.0196,1924.8550235705509,BUDAKA,0.01072206684027497,0.5103584771100037,0.237,1,False,0.27905150367265175,0.235,False,False
MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,Maracha District,603405.0,3.2873,30.9403,213920.0348,3.2873,30.9403,2820.703542630501,MARACHA,0.2356176928445537,0.5076313202542997,0.224,1,False,0.3547039989907403,0.242,False,False
BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,Buikwe District,593572.0,0.2827,0.0,478765.9383,0.2827,0.0,1239.7958010706711,BUIKWE,-0.0063831747039252784,0.006649681615203947,0.45,2,False,0.010928271952321666,0.438,False,False
