,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year
0,MASAKA,Masaka,"335,700",335700.0,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,South Central,Masaka District,4.0,3.0,7.0,3153.0,2959.0,6112.0,4709.0,3350.0,8059.0,1774.0,1584.0,3358.0,1364.0,1311.0,2675.0,4.0,3.0,7.0,3124.0,2939.0,6063.0,4641.0,3302.0,7943.0,1339.0,1289.0,2628.0,1762.0,1572.0,3334.0,19975.0,4.0,3.0,7.0,3041.0,2833.0,5874.0,4541.0,3262.0,7803.0,1321.0,1263.0,2584.0,1731.0,1545.0,3276.0,107.0,303.0,410.0,9640.0,9207.0,18847.0,1368.0,1314.0,2682.0,855.0,111838.9019,130.8057332,0.4464,31.9018,178.60511557830307,MASAKA,0.3660124800553039,1.366298087067627,0.032,3,True,-0.6010173000531659,0.042,False,True,2020
1,BUTEBO,Butebo,"121,200",121200.0,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,BUTEBO,Bukedi,Butebo District,26.0,30.0,56.0,5614.0,2509.0,8123.0,7243.0,2464.0,9707.0,4115.0,3110.0,7225.0,4952.0,4433.0,9385.0,26.0,30.0,56.0,5562.0,2485.0,8047.0,7107.0,2435.0,9542.0,4920.0,4414.0,9334.0,4106.0,3106.0,7212.0,34191.0,26.0,28.0,54.0,5287.0,2400.0,7687.0,6966.0,2417.0,9383.0,4440.0,4045.0,8485.0,3828.0,2950.0,6778.0,134.0,276.0,410.0,16998.0,12546.0,29544.0,4978.0,4463.0,9441.0,236.0,144468.885,612.1562926,1.2393,33.83,236.6668781308861,BUTEBO,0.165029371002546,0.9098217602053352,0.155,3,False,-0.3704070897538711,0.153,False,False,2020
2,ALEBTONG,Alebtong,"266,100",266100.0,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,Lango,Alebtong District,3.0,5.0,8.0,7110.0,3851.0,10961.0,9974.0,3515.0,13489.0,3936.0,3217.0,7153.0,4529.0,4269.0,8798.0,2.0,4.0,6.0,7103.0,3842.0,10945.0,9932.0,3491.0,13423.0,4548.0,4271.0,8819.0,3955.0,3232.0,7187.0,40380.0,2.0,3.0,5.0,6967.0,3819.0,10786.0,9867.0,3455.0,13322.0,4503.0,4243.0,8746.0,3932.0,3214.0,7146.0,358.0,698.0,1056.0,21023.0,14857.0,35880.0,4532.0,4274.0,8806.0,1534.0,259635.4412,169.253873,2.2914,33.2139,155.5257626361374,ALEBTONG,-0.0421354473275169,-0.0861611162418658,0.375,2,False,0.0570321212782049,0.367,False,False,2020
3,TORORO,Tororo,"597,500",597500.0,TORORO,TORORO,TORORO,TORORO,TORORO,TORORO,Bukedi,Tororo District,18.0,11.0,29.0,11929.0,7362.0,19291.0,19497.0,9473.0,28970.0,6395.0,4998.0,11393.0,8814.0,7682.0,16496.0,18.0,10.0,28.0,11354.0,6975.0,18329.0,18078.0,8802.0,26880.0,8294.0,7241.0,15535.0,6027.0,4745.0,10772.0,71544.0,16.0,23.0,39.0,11119.0,6761.0,17880.0,17696.0,8479.0,26175.0,8165.0,7095.0,15260.0,5940.0,4688.0,10628.0,452.0,851.0,1303.0,37839.0,29526.0,67365.0,8832.0,7693.0,16525.0,4504.0,2162302.077,480.0848305,0.3886,30.3436,33.08695892262235,TORORO,0.3251367373575138,0.8032362322728637,0.202,3,False,-0.3254785720206131,0.205,False,False,2020
4,MOROTO,Moroto,"118,500",118500.0,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,Karamoja,Moroto District,19.0,23.0,42.0,6216.0,3997.0,10213.0,8824.0,4782.0,13606.0,4005.0,3320.0,7325.0,12157.0,11526.0,23683.0,13.0,20.0,33.0,5878.0,3805.0,9683.0,7562.0,4314.0,11876.0,11590.0,11011.0,22601.0,3823.0,3165.0,6988.0,51181.0,13.0,19.0,32.0,5814.0,3741.0,9555.0,7440.0,4255.0,11695.0,11458.0,10916.0,22374.0,3727.0,3109.0,6836.0,114.0,623.0,737.0,19064.0,23648.0,42712.0,12176.0,11549.0,23725.0,3533.0,103556.1503,29.31110963,2.7495,34.5971,494.2342859572292,MOROTO,-0.0003660874132262,-0.0453618718596041,0.432,4,False,0.0007691779964987,0.433,False,False,2020
5,KAGADI,Kagadi,"430,200",430200.0,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,KAGADI,Bunyoro,Kagadi District,7.0,7.0,14.0,11466.0,7628.0,19094.0,18912.0,10501.0,29413.0,6188.0,4697.0,10885.0,6654.0,5787.0,12441.0,5.0,6.0,11.0,10358.0,6922.0,17280.0,16506.0,9284.0,25790.0,5830.0,5117.0,10947.0,5588.0,4291.0,9879.0,63907.0,6.0,6.0,12.0,10741.0,7150.0,17891.0,17220.0,9548.0,26768.0,6006.0,5265.0,11271.0,5740.0,4426.0,10166.0,883.0,1660.0,2543.0,36573.0,28620.0,65193.0,6661.0,5794.0,12455.0,1420.0,418806.2219,294.9339591,0.95,30.8,152.59324398303548,KAGADI,0.4191917295584439,1.4814525446487123,0.02,3,True,-0.6152610564627546,0.018,False,True,2020
6,KAMULI,Kamuli,"558,500",558500.0,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,Busoga,Kamuli District,44.0,33.0,77.0,47740.0,25528.0,73268.0,87075.0,40753.0,127828.0,29868.0,21268.0,51136.0,48360.0,40111.0,88471.0,24.0,17.0,41.0,47026.0,24921.0,71947.0,85083.0,39417.0,124500.0,47597.0,39469.0,87066.0,29249.0,20762.0,50011.0,333565.0,24.0,17.0,41.0,45761.0,24257.0,70018.0,82330.0,38405.0,120735.0,46313.0,38479.0,84792.0,28336.0,20166.0,48502.0,4216.0,7887.0,12103.0,164727.0,127693.0,292420.0,48404.0,40144.0,88548.0,1515.0,517995.9032,341.9114872,0.9187,33.1239,643.9529693948359,KAMULI,0.1948934189371917,0.5152951853742032,0.236,1,False,0.2823461090610976,0.208,False,False,2020
7,BUDAKA,Budaka,"253,100",253100.0,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,Bukedi,Budaka District,5.0,4.0,9.0,3677.0,2005.0,5682.0,5864.0,2219.0,8083.0,2938.0,2103.0,5041.0,4113.0,3859.0,7972.0,5.0,3.0,8.0,3633.0,1946.0,5579.0,5783.0,2157.0,7940.0,4075.0,3779.0,7854.0,2873.0,2063.0,4936.0,26317.0,5.0,3.0,8.0,3412.0,1831.0,5243.0,5542.0,2016.0,7558.0,3875.0,3617.0,7492.0,2730.0,1959.0,4689.0,157.0,401.0,558.0,12484.0,10190.0,22674.0,4118.0,3863.0,7981.0,410.0,249235.3939,607.8912045,1.1005,34.0196,105.59094191316622,BUDAKA,0.4756006111538396,1.187674430554659,0.065,3,False,-0.5865199753056282,0.068,False,False,2020
8,MARACHA,Maracha,"208,300",208300.0,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,West Nile,Maracha District,28.0,17.0,45.0,30315.0,15863.0,46178.0,30562.0,10089.0,40651.0,17158.0,12379.0,29537.0,15626.0,14209.0,29835.0,29.0,18.0,47.0,30007.0,15673.0,45680.0,29659.0,9557.0,39216.0,15444.0,13939.0,29383.0,16999.0,12273.0,29272.0,143598.0,28.0,17.0,45.0,29525.0,15255.0,44780.0,29130.0,9455.0,38585.0,15039.0,13555.0,28594.0,16669.0,12017.0,28686.0,1326.0,2759.0,4085.0,78063.0,52557.0,130620.0,15654.0,14226.0,29880.0,440.0,213920.0348,486.1818973,3.2873,30.9403,671.2695243073138,MARACHA,0.5130146327362419,0.9262314318648,0.138,1,False,0.663313252378757,0.123,False,False,2020
9,BUIKWE,Buikwe,"474,100",474100.0,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,North Central,Buikwe District,36.0,17.0,53.0,19721.0,14068.0,33789.0,35432.0,22776.0,58208.0,13176.0,10681.0,23857.0,17396.0,15839.0,33235.0,30.0,14.0,44.0,17854.0,12927.0,30781.0,29228.0,20438.0,49666.0,15833.0,14447.0,30280.0,12341.0,10131.0,22472.0,133243.0,30.0,14.0,44.0,17138.0,12400.0,29538.0,28042.0,20107.0,48149.0,15191.0,13878.0,29069.0,11792.0,9706.0,21498.0,698.0,1878.0,2576.0,68365.0,63381.0,131746.0,17432.0,15856.0,33288.0,1270.0,478765.9383,376.9810538,0.2827,0.0,278.30509512251155,BUIKWE,-0.0408064126971266,-0.2193343249395671,0.326,2,False,0.1205415834468825,0.338,False,False,2020
